0.167020	0.145681	0.109176	0.141072	0.100252	0.145681	0.118389	0.145291	0.145907	0.145907	0.147573	0.146096	0.332538	0.145738	0.145907	0.145982	0.147964	0.149538	0.144938	0.141254	0.099075	0.135490	0.146814	0.090991	0.145888	0.145907	0.148138	0.312901	0.145888	0.145982	0.145907	0.141072	0.145907	0.159942	0.140252	0.145920	0.149610	0.145987	0.145888	0.144903	0.145907	0.146814	0.142255	0.122347	0.168623	0.226558	0.150333	0.132280	0.146617	0.141075	0.118845	0.142869	0.143998	0.141172	0.145907	0.145907	0.145907	0.145907	0.147610	0.145888	0.140208	0.148647
0.009968	0.011648	0.005594	0.010622	0.006133	0.011648	0.007785	0.011623	0.011648	0.011648	0.010508	0.009635	0.002889	0.010774	0.011648	0.010706	0.010096	0.009760	0.008815	0.010355	0.004341	0.009852	0.011650	0.002201	0.011128	0.011648	0.011045	0.000976	0.011694	0.010706	0.011648	0.010622	0.011648	0.009226	0.008758	0.005542	0.004953	0.010899	0.011694	0.010523	0.011648	0.011650	0.009241	0.002120	0.007074	0.009373	0.007529	0.008636	0.009818	0.007391	0.007891	0.011537	0.010706	0.010865	0.011648	0.011648	0.011648	0.011648	0.010277	0.011694	0.007402	0.010803
0.682258	0.685877	0.825416	0.680957	0.608134	0.685877	0.752341	0.685317	0.685877	0.685877	0.683603	0.677145	0.655881	0.685537	0.685877	0.687950	0.689510	0.685705	0.694133	0.681156	0.626881	0.699956	0.685681	0.630911	0.686663	0.685877	0.685186	0.595496	0.686098	0.687950	0.685877	0.680957	0.685877	0.695975	0.675471	0.666107	0.668638	0.687260	0.686098	0.691011	0.685877	0.685681	0.685504	0.785821	0.667864	0.679285	0.704474	0.674047	0.682284	0.721329	0.730539	0.689718	0.685801	0.692890	0.685877	0.685877	0.685877	0.685877	0.685222	0.686098	0.724458	0.687185
0.182612	0.190689	0.072566	0.203797	0.465555	0.190689	0.163506	0.193021	0.190689	0.190689	0.185376	0.196102	0.139144	0.190157	0.190689	0.188433	0.189778	0.181372	0.177935	0.203434	0.089063	0.174256	0.189893	0.325379	0.189880	0.190915	0.188800	0.070553	0.189880	0.188433	0.190915	0.203797	0.190915	0.175682	0.211291	0.133285	0.211023	0.189154	0.189880	0.186031	0.190915	0.189893	0.197086	0.081363	0.211550	0.102709	0.170219	0.224464	0.194748	0.158153	0.228193	0.188396	0.190239	0.185752	0.190915	0.190915	0.190915	0.190915	0.183768	0.189880	0.160471	0.185255
0.577928	0.583291	0.521641	0.589643	0.748296	0.583518	0.562959	0.584770	0.583518	0.583518	0.580483	0.596946	0.546042	0.581988	0.583518	0.581677	0.579622	0.576944	0.576930	0.589332	0.543435	0.570833	0.582866	0.572724	0.582689	0.583518	0.582239	0.532231	0.582689	0.581677	0.583518	0.589643	0.583291	0.575257	0.594626	0.549780	0.574387	0.582167	0.582689	0.580508	0.583291	0.582866	0.587027	0.535842	0.583025	0.533711	0.564421	0.606848	0.590027	0.560726	0.573405	0.581455	0.584361	0.578757	0.583518	0.583518	0.583518	0.583291	0.579310	0.582689	0.561437	0.580581
0.009968	0.011648	0.005594	0.010622	0.006133	0.011648	0.007785	0.011623	0.011648	0.011648	0.010508	0.009635	0.002889	0.010774	0.011648	0.010706	0.010096	0.009760	0.008815	0.010355	0.004341	0.009852	0.011650	0.002201	0.011128	0.011648	0.011045	0.000976	0.011694	0.010706	0.011648	0.010622	0.011648	0.009226	0.008758	0.005542	0.004953	0.010899	0.011694	0.010523	0.011648	0.011650	0.009241	0.002120	0.007074	0.009373	0.007529	0.008636	0.009818	0.007391	0.007891	0.011537	0.010706	0.010865	0.011648	0.011648	0.011648	0.011648	0.010277	0.011694	0.007402	0.010803
0.610386	0.615471	0.595546	0.614041	0.575801	0.615245	0.701519	0.614960	0.615245	0.615245	0.612892	0.608722	0.587838	0.614702	0.615245	0.616606	0.619176	0.608759	0.605286	0.613968	0.556826	0.618963	0.615038	0.608519	0.615700	0.615245	0.614477	0.541555	0.615700	0.616606	0.615245	0.614041	0.615245	0.608035	0.611658	0.593414	0.606494	0.616066	0.615700	0.615211	0.615245	0.615038	0.610397	0.557112	0.597133	0.596019	0.639069	0.623501	0.621560	0.640847	0.674398	0.618058	0.613095	0.620252	0.615245	0.615245	0.615245	0.615245	0.617891	0.615700	0.637641	0.612836
0.045201	0.048848	0.009610	0.051026	0.205781	0.048848	0.036639	0.050062	0.048848	0.048848	0.046784	0.064241	0.028730	0.047663	0.048848	0.047535	0.046728	0.044632	0.045076	0.050617	0.020621	0.040719	0.048382	0.036739	0.048198	0.048848	0.047939	0.019893	0.048198	0.047535	0.048848	0.051026	0.048848	0.042696	0.049731	0.028271	0.040509	0.047849	0.048198	0.046885	0.048848	0.048607	0.048012	0.024419	0.045249	0.019554	0.035309	0.054856	0.049351	0.034735	0.038329	0.047397	0.050370	0.045529	0.048848	0.048848	0.048848	0.048848	0.046122	0.048198	0.033859	0.046949
0.009968	0.011648	0.005594	0.010622	0.006133	0.011648	0.007785	0.011623	0.011648	0.011648	0.010508	0.009635	0.002889	0.010774	0.011648	0.010706	0.010096	0.009760	0.008815	0.010355	0.004341	0.009852	0.011650	0.002201	0.011128	0.011648	0.011045	0.000976	0.011694	0.010706	0.011648	0.010622	0.011648	0.009226	0.008758	0.005542	0.004953	0.010899	0.011694	0.010523	0.011648	0.011650	0.009241	0.002120	0.007074	0.009373	0.007529	0.008636	0.009818	0.007391	0.007891	0.011537	0.010706	0.010865	0.011648	0.011648	0.011648	0.011648	0.010277	0.011694	0.007402	0.010803
0.009968	0.011648	0.005594	0.010622	0.006133	0.011648	0.007785	0.011623	0.011648	0.011648	0.010508	0.009635	0.002889	0.010774	0.011648	0.010706	0.010096	0.009760	0.008815	0.010355	0.004341	0.009852	0.011650	0.002201	0.011128	0.011648	0.011045	0.000976	0.011694	0.010706	0.011648	0.010622	0.011648	0.009226	0.008758	0.005542	0.004953	0.010899	0.011694	0.010523	0.011648	0.011650	0.009241	0.002120	0.007074	0.009373	0.007529	0.008636	0.009818	0.007391	0.007891	0.011537	0.010706	0.010865	0.011648	0.011648	0.011648	0.011648	0.010277	0.011694	0.007402	0.010803
