0	3
0	4
0	5
0	6
0	9
0	15
0	17
0	20
0	22
0	24
0	25
0	26
0	28
0	29
0	42
0	44
0	46
0	47
0	48
0	55
0	57
0	58
0	61
0	65
0	68
0	71
0	74
0	81
0	82
0	86
0	89
0	90
0	92
0	93
0	94
0	96
0	97
0	101
0	102
1	25
1	42
1	47
1	48
1	55
1	58
1	59
1	61
1	78
1	82
1	86
1	97
1	101
1	102
2	6
2	26
2	49
2	82
2	90
2	101
2	102
3	25
3	47
3	58
3	61
3	82
3	86
3	97
3	102
4	3
4	6
4	26
4	46
4	47
4	55
4	82
4	84
4	86
4	101
5	0
5	2
5	4
5	6
5	7
5	10
5	15
5	16
5	17
5	18
5	21
5	23
5	26
5	27
5	28
5	29
5	30
5	32
5	35
5	39
5	41
5	42
5	46
5	47
5	49
5	50
5	51
5	57
5	60
5	61
5	64
5	65
5	66
5	71
5	74
5	75
5	78
5	80
5	82
5	84
5	86
5	87
5	90
5	96
5	97
5	98
5	100
5	101
5	102
6	0
6	2
6	4
6	6
6	7
6	9
6	10
6	15
6	16
6	17
6	18
6	20
6	21
6	23
6	24
6	25
6	26
6	27
6	28
6	29
6	30
6	32
6	35
6	39
6	41
6	42
6	44
6	46
6	47
6	48
6	49
6	50
6	51
6	55
6	57
6	58
6	60
6	61
6	64
6	65
6	66
6	68
6	69
6	71
6	74
6	75
6	78
6	80
6	82
6	84
6	86
6	87
6	88
6	89
6	90
6	93
6	96
6	97
6	98
6	100
6	101
6	102
7	4
7	6
7	15
7	17
7	20
7	24
7	25
7	26
7	28
7	29
7	42
7	44
7	46
7	48
7	55
7	57
7	58
7	65
7	68
7	71
7	74
7	82
7	86
7	89
7	90
7	96
7	101
7	102
8	6
8	18
8	39
8	58
8	74
8	82
8	91
8	100
8	102
9	0
9	2
9	3
9	4
9	6
9	7
9	8
9	10
9	15
9	16
9	17
9	18
9	21
9	23
9	26
9	27
9	28
9	30
9	32
9	35
9	39
9	41
9	42
9	46
9	47
9	49
9	50
9	51
9	55
9	57
9	58
9	60
9	61
9	64
9	65
9	66
9	71
9	74
9	75
9	80
9	82
9	84
9	85
9	86
9	87
9	88
9	90
9	96
9	97
9	98
9	100
9	101
9	102
9	103
10	0
10	2
10	4
10	6
10	7
10	10
10	15
10	16
10	17
10	18
10	21
10	23
10	26
10	27
10	28
10	30
10	32
10	35
10	39
10	41
10	42
10	46
10	47
10	49
10	50
10	51
10	57
10	60
10	61
10	64
10	65
10	66
10	71
10	74
10	75
10	80
10	82
10	84
10	86
10	87
10	90
10	96
10	97
10	98
10	100
10	101
10	102
10	103
11	4
11	6
11	10
11	15
11	17
11	20
11	23
11	24
11	25
11	26
11	28
11	29
11	32
11	42
11	44
11	46
11	48
11	55
11	57
11	58
11	61
11	65
11	68
11	71
11	73
11	74
11	82
